righttrack,thermom,economy,race,income,gopdislike,betteroff,willbetteroff,gwbangry,libcon,econnextyear,partyid,bushiraq,rtaxcuts,morals,edulevel
5,40,4,10,7,0,2,2,,5,4,3,5,,3,4
1,85,2,50,21,0,2,2,,5,2,6,1,,4,3
5,0,2,50,16,4,2,1,2,1,1,2,5,2,5,4
5,15,5,50,12,3,5,2,1,1,2,1,1,,2,3
1,85,4,10,22,0,2,3,4,5,2,1,5,,3,3
1,100,3,50,17,0,3,2,,5,2,6,1,1,2,3
5,50,3,50,14,3,5,3,,5,4,1,5,1,4,4
5,0,4,10,19,5,4,4,2,1,4,0,5,,3,5
1,70,3,50,6,2,2,3,,5,3,4,5,1,3,3
5,0,5,50,,0,1,3,1,1,3,4,5,1,4,2
5,100,3,50,4,0,,3,,1,4,1,1,,3,3
5,15,3,50,18,1,3,2,3,1,3,0,5,2,1,4
1,85,2,50,14,2,1,1,,5,2,5,1,1,3,4
1,100,1,50,14,0,2,2,,5,2,5,1,,5,7
1,100,3,40,18,0,4,3,,1,3,2,2,,,3
5,0,5,10,2,1,4,,2,5,5,0,5,,5,3
1,70,3,10,8,2,2,3,,5,3,2,1,,3,2
1,100,1,40,4,0,1,3,,1,1,3,1,,3,1
5,60,3,50,12,1,3,3,2,3,4,2,5,,4,3
1,100,2,50,15,0,2,3,,5,2,4,1,,2,5
5,60,4,10,17,1,5,2,3,5,4,2,5,5,5,5
1,85,3,50,14,0,2,3,,5,3,6,5,1,3,4
1,100,3,20,17,0,1,1,,1,1,5,1,1,3,4
5,40,5,10,8,2,5,3,2,5,4,1,5,,5,5
5,70,4,50,17,1,4,3,2,5,3,6,2,2,5,7
5,60,4,50,15,1,4,3,2,1,3,2,5,1,3,4
1,70,2,50,22,2,2,3,,1,3,5,2,4,3,7
5,40,5,50,19,0,2,3,2,,3,3,5,,3,3
1,90,3,50,18,4,4,3,3,5,2,6,1,1,4,6
5,30,3,10,,0,3,3,,5,3,4,1,,4,2
5,0,4,50,16,4,4,1,2,1,3,0,5,4,3,6
5,95,2,50,18,1,2,2,,5,2,6,2,1,4,4
5,50,4,10,12,1,4,,1,5,,2,5,,3,3
1,60,3,50,13,1,2,3,4,3,3,2,5,5,3,7
5,0,5,50,21,0,4,2,2,5,3,2,5,,5,4
5,0,4,50,14,2,5,3,2,1,5,0,5,5,4,7
1,90,3,50,15,0,1,1,,5,2,6,1,,3,3
5,0,4,50,14,4,4,4,2,1,3,2,5,4,3,6
5,40,4,10,9,0,5,2,1,3,3,2,4,1,2,2
1,75,2,50,16,0,2,2,3,5,2,4,2,,5,5
5,30,3,50,11,0,5,1,2,1,2,2,5,1,5,6
5,60,4,50,13,0,1,1,2,1,1,4,5,,3,3
5,50,5,10,11,0,5,5,,1,4,1,5,1,3,1
1,70,3,50,,1,,3,,5,,3,2,4,3,4
5,50,4,40,15,0,4,3,,1,2,1,4,,4,2
5,60,5,10,6,2,5,1,1,1,5,4,5,,5,3
5,,5,70,18,0,2,3,,,,3,,,5,2
1,100,3,50,18,0,1,2,,1,1,6,1,1,5,5
5,40,5,10,13,2,5,3,3,5,3,1,5,,3,3
5,0,4,50,19,1,5,4,1,1,4,2,5,5,5,3
5,85,2,50,7,2,4,4,2,5,4,5,2,1,5,6
5,0,2,50,7,3,1,3,1,3,,2,5,5,,6
1,85,2,10,,2,4,1,3,1,3,0,5,,3,1
5,0,3,50,13,3,4,3,1,1,3,0,5,5,5,3
1,100,3,50,22,1,2,3,4,5,3,5,2,1,3,6
5,85,4,50,14,0,2,3,,3,3,6,1,1,5,3
1,100,3,40,,0,1,2,,1,3,,1,,3,3
5,15,4,50,17,5,4,3,1,1,4,0,5,5,3,6
5,0,2,50,19,4,3,3,1,1,,2,5,5,4,7
5,15,5,10,15,1,3,4,2,1,3,1,5,5,4,7
1,100,4,50,17,1,2,3,4,5,2,5,4,2,3,7
5,15,5,50,15,1,4,4,2,1,4,0,5,5,4,4
5,60,3,40,16,1,1,1,3,5,2,1,5,,3,3
5,70,3,40,17,1,4,3,1,5,5,2,5,2,5,3
5,0,5,40,1,1,5,1,1,1,2,0,5,4,3,5
,100,2,50,14,0,5,,,3,3,4,1,1,1,4
1,100,3,50,,0,2,4,,5,2,6,2,2,3,6
1,70,4,50,12,0,2,2,,5,3,5,1,1,5,3
5,70,4,50,17,1,4,4,3,5,4,5,5,1,3,6
5,0,5,50,13,1,2,3,2,5,4,0,5,2,4,3
5,40,3,50,20,1,2,2,,1,3,0,5,2,2,6
,60,3,10,12,0,2,,,1,2,0,1,,3,3
5,0,4,10,2,0,5,2,1,5,3,3,5,5,3,3
